date,site,site_sampled,location,lat,lon,elevation_m,survey ,verreauxii_tadpoles_detected,swabbed,time_start ,time_end ,temp ,humidity ,wind ,secchi_1,secchi_2,secchi_3,secchi_4,secchi_avg,time_micropredators_collected ,Gambusia_detected,Crayfish_detected ,survey_notes ,quadrant_1,quadrant_2,quadrant_3,quadrant_4,ibutton1_ID,balloon_colour ,quadrant,depth_cm,distance_from_shore_cm,north-south _length_m,east_west_length_m,temp_recording_start_date,notes ,iButton2_ID,balloon_colour .1,quadrant.1,depth_cm.1,distance_from_shore_cm.1,temp_recording_start_date.1,notes .1,Collection date,visit_type,verreauxii_adults_detected,temp,humidity,wind,other species detected (acoustic/observed),notes
2022-10-12 00:00:00,41,6.0,Dunlop oval,-35.185117,149.033048,580.0,1,Y,0,02:30:00,03:30:00,18.7,4.0,3.8,42,45,37,37,40.25,,Y,,"Overcast day, many Gambusia present across dam, only two tadpoles found across all quadrants: one very small, one above 20mm  ",,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-10-13 00:00:00,25,12.0,Mt. Majura south,-35.261699,149.172212,644.988708496094,1,Y,20,11:50:00,12:46:00,15.8,76.6,1.5,15,15,16,16,15.5,01:30:00,N,,"Overcast day, very light wind, heaps of uperoleia tadpoles present  ","Submerged and overhanging grass, ~20% canopy cover, ","Submerged grass, slight overhanging grass, ~10% canopy cover ","Exposed slow sloping bank, no canopy cover, slight submerged grass ","Stream inlet, submerged grasses, ~20% canopy cover",19.0,Pink ,2.0,0.0,30.0,36.6,44.4,2022-10-11 00:00:00,Tied to reeds parallel to fallen tree ,4,Blue,2.0,140,420.0,2022-10-11,Tied to fallen tree in q2,2022-11-16 00:00:00,Tadpole,,,,,,
2022-10-14 00:00:00,27,14.0,Mt. Ainslie near gun club,-35.28228,149.166283,615.625671386719,1,Y,20,11:37:00,12:32:00,16.4,65.8,0.0,36,38,36,40,37.5,02:00:00,N,,Overcast day with moments of sunshine. ,"Submerged grasses, minor tree cover ~5% ","Shallow bank, little submerged grass, medium canopy cover ~40%","Exposed bank, partial overhanging and submerged grass, no canopy cover","Partial overhanging and submerged grass, no canopy",45.0,Red,1.0,0.0,60.0,36.9,37.1,2022-10-11 00:00:00,"Tied to smal, teee in northern line of q1",13,Purple,1.0,120,400.0,2022-10-11,Tied to submerged tree in q1,2022-11-14 00:00:00,Tadpole,,,,,,
2022-10-17 00:00:00,62,,Tidbinbilla pond 1,-35.45392,148.928862,752.83056640625,1,N,0,11:45:00,12:20:00,,,,,,,,,,N,,No verreauxii tadpoles found across quadrants. Found Crinia and Limnodynastes. No Gambusia seen.,,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-10-17 00:00:00,32,16.0,Tidbinbilla pond 2,-35.4591,148.920997,746.221130371094,1,Y,20,01:00:00,02:15:00,19.1,63.4,0.0,82,82,85,89,84.5,02:30:00,N,,"Lots of smaller tadpoles, only detected in q3. Other species detected in other quadrants","submerged trees, heavy canopy cover (80-90) ","submerged trees, little submerged grass, heavy canopy cover ","Submerged grasses, 30-40% canopy cover","Open, little canopy cover ",52.0,Light green ,3.0,0.0,100.0,37.7,23.2,2022-10-11 00:00:00,Tied to first tea tree on right hand side in q3,40,Peach,3.0,130,900.0,2022-10-11,Tied to most prominent tree on edge of q3 ,2022-11-22 00:00:00,Tadpole,,,,,,
2022-10-18 00:00:00,42,5.0,Amaroo,-35.163931,149.123604,624.0,1,N,0,01:45:00,02:30:00,,,,50,45,45,47,46.75,,Y,,Gambusia present in abundance (10-20 per scoop in several places) no tadpoles detected across quadrants,,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-10-19 00:00:00,6,4.0,Mulligans Flat pond 1,-35.1674,149.155,636.0,1,Y,20,10:50:00,11:45:00,19.4,68.7,4.0,48,50,52,51,50.25,12:45:00,N,,"Sunny warm day, floops everywhere","Exposed bank, no canopy cover, marchy extended shallows lots of submerged grass ","Slight canopy cover ~15%, shallow marchy extended shallows submerged grass","Exposed bank, slight canopy cover ~10%, submerged grass","Exposed bank, slight canopy cover ~10, submerged grass",38.0,Light blue,2.0,5.0,150.0,41.6,62.2,2022-10-11 00:00:00,Tied to reeds on right hand bank between the two branches in q2,75,Yellow ,2.0,120,420.0,2022-10-11,Casted out to between the two branches and tied to a tuft of reeds in front of first button in q2,2022-11-15 00:00:00,Tadpole,,,,,,
2022-10-19 00:00:00,3,2.0,Mulligans Flat pond 2,-35.162979,149.175054,654.998840332031,1,Y,20,02:05:00,02:38:00,23.6,51.7,1.9,38,40,41,40,39.75,02:50:00,N,,"Partially cloudy, floops still everywhere","Submerged grasses, one larger tree ~30% cover","Submerged grasses, steep bank, exposed, no canopy cover","Submerged grasses, extended shallows, slight cover ~10%","Submerged grasses, steep bank, slight canopy cover ~5%",37.0,Purple,3.0,0.0,10.0,84.6,32.6,2022-10-11 00:00:00,Tied to over hanging branch in q3 ,49,Pink,3.0,103,510.0,2022-10-11,"Casted out from overhanging branch in q3, tied to furthest prong ",2022-11-15 00:00:00,Tadpole,,,,,,
24/10/2022,15,7.0,Percy Hill Nature Reserve,-35.195294,149.101281,618.673767089844,1,Y,0,10:30:00,11:20:00,,,,29,29,28,29,28.75,,Y,,"Gambusia present, only 5 tadpoles detected across all quadrants",,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
24/10/2022,16,,Mulanggari Grasslands Nature Reserve,-35.192849,149.140405,618.0,1,Y,0,12:15:00,01:05:00,,,,,,,,,,N,,"Tadpole in late stages, outside period 1",,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
24/10/2022,4,3.0,Mulligans Flat pond 3,-35.16380909,149.1643346,659.889038085938,1,Y,17,02:20:00,03:45:00,19.1,76.8,2.8,37,37,40,39,38.25,03:45:00,N,,"Humid overcast day, also Limnodynastes an uperoleia tadpoles present","Flooded grassland, submerged grasses, many tadpoles ","Bare rocky shoreline, no tadpoles present ","Submerged grasses, flooded bank. Minimal canopy cover (5%) , small tadpoles present, mainly uperoleia spa ","Trees next to the road, minimal canopy cover 5%. Submerged grasses ",54.0,Pink,4.0,5.0,30.0,44.7,41.1,2022-10-11 00:00:00,Tied to log on edge of q3/4 ,28,Light blue ,4.0,110,650.0,2022-10-11,"Casted out from fallen log on edge of q3/4,pile of fallen logs leading to it, 5/6 metres from the road ",Ibuttons removed by management ,Tadpole,,,,,,
2022-10-26 00:00:00,33,18.0,Tidbinbilla off management trail,-35.470561,148.909658,786.190673828125,1,Y,20,11:20:00,01:40:00,18.0,76.1,2.4,78,81,79,88,81.5,02:15:00,N,,"Raining on and off, tadpole I. Q 4 only in very small area  ","Submerged  reeds along bank, aquatic vegetation, canopy cover of small tees(15%)","Tall reeds and submerged grasses, flooded verge of dam . Little teee cover","Large areas of tall reeds , small trees along shoreline, submerged grassses and lots of algae present ","Canopy cover 15% Submerged grasses and reeds, where all tadpoles were found. Shrubs and small trees lining the shoreline ",43.0,Red,4.0,5.0,100.0,Can't measure too large beyond 100 m ,,2022-10-11 00:00:00,Tied to reeds at shore line near post in q4 ,3,Pink ,4.0,150,320.0,2022-10-11,Casted out from post in water on edge of q1 and 4,2022-12-02 00:00:00,Tadpole,,,,,,
2022-10-26 00:00:00,61,,Tidbinbilla off closed management trail,-35.457678,148.929969,771.295349121094,1,N,0,03:15:00,03:55:00,,,,,,,,,,N,,"Pristine location, found upe, limnodynastes and crinia tadpoles but no Verreauxii present ",,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-10-26 00:00:00,31,,Tidbinbilla near carpark,-35.439849,148.943734,695.177062988281,1,N,0,05:00:00,5:30 (very small pond) ,,,,,,,,,,N,,No tadpoles found ,,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-10-27 00:00:00,68,17.0,Tidbinbilla Black Flats Dam,-35.4632001,148.910118,761.666259765625,1,Y,19,12:55:00,03:00:00,18.3,63.1,2.9,>135,>135,>135,>135,(Wader max),04:20:00,N,,"Verreauxii only in section 3, widespread in extensive submerged grass section; only getting one tadpole every couple of scoops ","Submerged grasses, but very clear water with little aquatic vegetation. Grasses are submerged until 2 m into dam. Tall trees on bank and shrubs, 80-90% canopy cover along banks ","Submerged grasses, but very clear water with little aquatic vegetation. Grasses are submerged until 2 m into dam. Tall trees on bank and shrubs, 80-90% canopy cover along banks ","Grassy, shallow inlet. Many clusters of reeds and grasses with some aquatic vegetation. Watt Seth doesn't exceed 1m. Shrubs around shore line, 15% ","Grassy, shallow inlet. Many clusters of reeds and grasses with some aquatic vegetation. Water depth doesn't exceed 1m. Shrubs around shore line, 15% canopy cover  ",41.0,Purple ,3.0,5.0,140.0,Can't measure too largev,,2022-10-11 00:00:00,Tied to reeds perpendicular to outer button. ,59,Yellow ,3.0,75 ( shallow dam),945.0,2022-10-11,Tied to reeds furthest out I could go on edge of section 3. Only reeds near the grassy area. ,2022-12-02 00:00:00,Tadpole,,,,,,
2022-11-02 00:00:00,1,10.0,Watson pond,-35.241248,149.168755,640.9990234375,2,Y,20,10:25:00,11:45:00,8.1,67.1,3.2,14,14,13,14,13.75,12:50:00,N,,Sunny but cold day. Finding lots of smaller tadpoles. ,5% reeds 2% aquatic veg ,"Shallow I let020% aquatic , 0% grass or reeds submerged. Grass lining the banks ","15% reeds, 10 %aquatic veg  thick algae present ","10% reeds and grasses, 2% aquatic vegetation. Thick sludgy algae present ",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-02 00:00:00,26,13.0,Campbell park woodland,-35.27885,149.178388,589.423889160156,2,Y,20,02:05:00,02:45:00,13.4,61.0,2.0,22,23,21,23,22.25,03:45:00,N,,Sunny day. Finding abundance of tadpoles 5-10 each scoop. Many smaller tadpoles I. 1 and 2 ,"Grassy banks, 15% canopy cover (tree lined) , submerged grasses with a flooded inlet 10% ","Submerged grasses 15% , 2% canopy cover and grassy banks ","Grassy banks 15%, trees 2% canopy cover, little submerged vegetation, ","Shallow inlet, submerged grasses 5% , canopy cover 5% ",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-02 00:00:00,55,11.0,Mt. Majura dam 2,-35.250603,149.176689,657.369750976562,2,Y,0,05:00:00,05:30:00,12.6,58.5,2.7,,,,,,,N,,Two floops found but very small. Crayfish very abundant . Will return in an earlier time of day ,,,.,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-03 00:00:00,47,23.0,Boboyan road,-35.89070189,148.9826585,1168.99682617188,1,Y,0,10:54:00,11:35:00,14.1,62.5,2.4,,,,,,,N,,Floops in abundance but too small for swabbing ,,,,,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-03 00:00:00,9,22.0,Naas Valley Firetrail (Webs dam),-35.870049,149.00882,1103.0,1,Y,20,12:25:00,01:27:00,16.9,48.5,0.0,>135,>135,>135,>135,(Wader max),02:20:00,N,,Tadpoles very adundant but largely too small. Bigger tadpoles in shallow grasses in very small section of q3 ,"App 10% overhanging grass, little 5% submerged grass, little canopy cover <5% ","Submerged grasses app 15%, few vernanging grasses 5%, no canopy ","Submerged grasses app 20% few vernanging grasses 5%, no canopy ","Submerged grasses many  20%, little% overhanging 5%, little canopy <5 ",75.0,Light blu,4.0,5.0,140.0,Too large to measure,,11/10/10/22,In tadpole hotspot ,15,Peach ,4.0,115,550.0,2022-10-11,Tied to reeds in furthest grass edge in line with first ibutyon,2022-11-24 00:00:00,Tadpole,,,,,,
2022-11-03 00:00:00,58,21.0,Hospital Creek,-35.739258,148.995044,958.719909667969,1,Y,20,03:48:00,04:40:00,18.8,51.4,3.1,>90,>90,>90,>90,(Bottom),05:00:00,N,,"Abundant tadpoles, quite opposite sizes, very large or very small. U shaped pond. Shallow waters, lots of veg ","20% submerged grasses, shallow water, reeds over hanging banks, plenty of aquatic vegetation. ","20% submerged grasses, shallow water, reeds over hanging banks, plenty of aquatic vegetation. ","Submerged grasses and over hanging grasses 15% shallow warm water, with deeper middle ( under a meter)",Majority grasses and submerged veg 20-35% very shallow water inlets. Tadpoles throughout ,24.0,Pink,2.0,5.0,20.0,,,2022-10-11 00:00:00,In quadrant 2 next to bank ,6,Yellow,2.0,78,140.0,2022-10-11,Tied to reeds in deepest parts of q2,2022-11-24 00:00:00,Tadpole,,,,,,
2022-11-04 00:00:00,34,19.0,Corin flat,-35.518728,148.90946,1220.05541992188,1,Y,20,11:15:00,11:54:00,14.8,66.5,0.0,>40,>40,>40,>40,"Too shallow, lots of algae on edges, clear in middle",,N,,"Small flooded grassland, tadpoles everywhere but very small in q3 and q2  ",25% submerged and overhanging grasses. Very shallow water body (deepest under 60cm). Algae and grasses throughout all quadrants,25% submerged and overhanging grasses. Very shallow water body (deepest under 60cm). Algae and grasses throughout all quadrants,25% submerged and overhanging grasses. Very shallow water body (deepest under 60cm). Algae and grasses throughout all quadrants,25% submerged and overhanging grasses. Very shallow water body (deepest under 60cm). Algae and grasses throughout all quadrants,69.0,Green,1.0,0.0,10.0,16.5,17.2,2022-10-11 00:00:00,"On edge of q1, tied on tree ",14,Blue,1.0,40,270.0,2022-10-11,Tied to reeds in deepest part of flooded area. Directly in line with big northern trees ,,Tadpole,,,,,,
2022-11-04 00:00:00,59,20.0,Square rock trail,-35.532568,148.901689,1345.53173828125,1,Y,20,02:45:00,03:30:00,22.2,43.3,1.6,>30,>30,>30,>30,Too shallow. Lots of grasses and algae,04:20:00,N,,Small flooded grassland  lots of veg  and water is shallow and warm  ,Very small tadpoles I. This quadrant with many other species. 25% submerged grasses and overhanging grass. Shallow warm water ,Not many tadpoles here. 25% submerged and over hanging grasses. Very thick vegetation ,25% submerged and over hanging grasses. Very thick vegetation ,"Hotspot for tadpoles. Many under 20mm, but very abundant. 25% submerged and overhanging grasses. Water very shallow and very warm",64.0,Yellow,3.0,5.0,120.0,15.7,17.4,2022-10-11 00:00:00,On edge of q3 in the inlet section ,?,Pink,3.0,20,650.0,2022-10-11,"Tied to reeds furthest In, in-line with the inlet ",,Tadpole,,,,,,
2022-11-08 00:00:00,55,11.0,Mt. Majura dam 2,-35.250603,149.176689,657.369750976562,2,Y,0,10:50:00,11:50:00,21.9,68.5,0.0,,,,, ,,N ,Y,"Very few tadpoles present. Two small Litoria found in q4 one large one in q3. Very high density of crayfish. Some Limnodynastes tadpoles found in Q1, and q4 ","Overhanginbgrasses about 10% submerged grass, canopy cover. ~5%","Little overhanging and submerged grass,5%,  large partially submerged tree, ","Patch of submerged grass ~10%, some canopy cover ~10%, ","Overhanging grasses ~20%, canopy 10%",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-09 00:00:00,38,15.0,Urriara rest area,-35.247811,148.955793,471.0,2,Y,20,10:50:00,12:56:00,23.5,64.7,1.5,68,66,70,69,68.25,02:30:00,N,N,"Some smaller tadpoles present in q1q2, larger cohort in q4  only ","Q1 0% overhanging grass, very thi k akgae10% no aquatic veg no canopy cover ","Some grass on banks 15%, thick algae 20%, little underwater veg 5%. A small inlet, ","20% thick algae on surface surface d water, little aquatic veg, 5%, grasses on banks  offering ni canopy cover ","Where all larger tadpoles were,thick algae 20%, 5% overhanging grasses. , no canopy cover and little aquatic veg, only 5% ",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-09 00:00:00,54,8.0,Gungahlin Hill Nature Reserve,-35.209796,149.11719,611.999877929688,2,Y,20,04:04:00,05:15:00,25.8,49.1,2.1,78,77,82,82,79.75,05:15:00,N,Y,"Smaller tadpoles present in q3 and q2, some yabbies and lots of shrimp ","Flooded inlet, 20% submerged grass, 20% aquatic veg, no canopy cover.","15% grass reeds very tall, 20% aquatic veg overhanging grasses along the banks, 5% canopy cover ","Tall grasses on banks 25%, 20% aquatic veg and submerged grasses. Where most tadpoles found, no canopy cover ","25% grasses overhanging on the banks,  and quite flooded with 20% submerged grasses. Aquatic vegetation20% no canopy cover.",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-10 00:00:00,43,1.0,Northern trail head site,-35.152934,149.157033,656.984741210938,2,Y,20,01:52:00,02:40:00,24.4,66.3,1.3,66,64,62,64,64,03:40:00,N,Y,Tadpoles very abundant,"Extensive flooded grassland 25%, no canopy cover","Some flooded grassland near shore 10%, steep bank, no canopy","Some flooded grassland near shore 10%, steep bank, no canopy","Some flooded grassland near shore 10%, no canopy",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-14 00:00:00,27,14.0,Mt. Ainslie near gun club,-35.28228,149.166283,615.625671386719,2,Y,20,02:03:00,02:33:00,22.5,58.4,1.9,42,38,39,40,39.75,03:30:00,N ,N,Tadpoles extremely abundant ,"25% grasses on shore, 20% aubmerged grasses, no aquatic veg, 3 trees present in water (small trees, minimal canopy cover) ","5% canopy cover, larger trees overhangimg, no grasses, no submerged grasses","10% submerged grasses, overhanging grasses 5%, ni awuatic veg, very sandy banks ","submerged grasses 15%, over hanging grasses 10%, sandy banks, small inlet ",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-15 00:00:00,3,2.0,Mulligans Flat pond 2,-35.162979,149.175054,654.998840332031,2,Y,20,10:10:00,10:45:00,16.7,51.8,1.3,33,33,36,33,33.75,11:20:00,N,N,"Tadpoles abundant, other species in q2tadpoles abundant, other species across quadrants","15% submerged grass, slight canopy cover10%","Steep bank, slight submerged/overhanging grass 5%","15% submerged grass cover, slight canopy cover 5%","Steep bank, slight submerged/overhanging grass 5%",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-15 00:00:00,4,3.0,Mulligans Flat pond 3,-35.16380909,149.1643346,659.889038085938,2,Y,20,12:10:00,01:40:00,15.7,59.3,4.1,28,30,27,28,28.25,02:30:00,N,Y,"Tadpoles very well developed, hard to find. Many crayfish. ","15% submerged grasse, but sandy banks. 10% aquatic veg deeper in the pond. 10% canopy cover with a big tree ","Submerged grasses 20%, 10% aquatic veg no canopy cover ","Very sandy bank, 5% submerged grasses 5% canopy cover from large tree ","20% submerged grasses,  10% aquatic veg. Lots of submerged logs. Minimal canopy cover from some overhanging shrubs 2% ",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-15 00:00:00,6,4.0,Mulligans Flat pond 1,-35.1674,149.155,636.0,2,Y,20,02:45:00,04:00:00,15.1,40.8,5.1,46,47,47,46,46.5,05:00:00,N,Y,Tadpoles around most quadrants ,"20% submerged grasses, , 5% canopy cover, 25% aquatic veg ","25% submerged grasses and aquatic veg ,  5%  canopy cover, trees lining bank ","Overhanging grasses along bank, , 15% submerged grasses, 10% aquatic veg","Overhanging grasses along bank, , 15% submerged grasses, 10% aquatic veg",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-16 00:00:00,25,12.0,Mt. Majura south,-35.261699,149.172212,644.988708496094,2,Y,20,02:00:00,02:30:00,,,,15,15,17,15,15.5,02:45:00,N,N,Tadpoles everywhere,"Steep bank, overhanging grass 20%, lots of canopy cover 20% ","Overhanging grasses 15%, submerged grass 15%, slight canopy 5% ","Submerged grass 15%, exposed no canopy","Submerged grasses 20%, slight canopy 5%",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-22 00:00:00,32,16.0,Tidbinbilla pond 2,-35.4591,148.920997,746.221130371094,2,Y,0,10:00:00,12:10:00,12.5,59.8,5.2,80,83,82,87,83,,N,N,"Tadpoles very sparse (all spp), only 6 Litoria found of which two with slight toe development","Submerged trees, lots of canopy cover ~25%","Submerged trees, lots of canopy cover ~20%, submerged vegetation 15% ","Extensive submerged grass 25%, canopy cover 15%","Steep bank, little submerged grass~5%, little canopy cover 5% max",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-22 00:00:00,68,17.0,Tidbinbilla Black Flats Dam,-35.4632001,148.910118,761.666259765625,2,Y,20,13:20:00,15:30:00,14.4,55.2,3.8,>135,>135,>135,>135,(Wader max),1:30:00(2/12/2022)  am,N,N,"Tadpoles highly abundant in submerged grasses q3, ","Submerged grasses lining the bank 15%, rather exposed, canopy ~10%","Submerged grasses extending slightly inward ~15%, some canopy ~10Z","Extensive submerged grasses, near total (25%), light canopy cover 10%","Extensive submerged grassland 20%, medium canopy ~15%",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-24 00:00:00,9,22.0,Naas Valley Firetrail (Webs dam),-35.870049,149.00882,1103.0,2,Y,20,11:10:00,12:30:00,18.4,55.7,2.8,>135,>135,>135,>135,(Wader max),01:15:00,N,N,"Tadpoles more abundant than last time, found in all q except q3 was more sparse. Many other species present ","Inlet, submerged grass 5%, little canopy <5% ","Submerged grasses, slightly extending inwards 15% , no canopy ","Submerged grasses 15%, no canopy. ",Extensive submerged grasss 20% no canopy ,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-24 00:00:00,58,21.0,Hospital Creek,-35.739258,148.995044,958.719909667969,2,Y,20,02:25:00,03:15:00,29.0,51.6,1.1,>90,>90,>90,>90,(Bottom),03:30:00,N,N,Tadpoles abundant  in all parts of the pond ,"flooded river side arms, 25% flooded grass, no canopy cover ","flooded river side arms, 25% flooded grass, no canopy cover ","flooded river side arms, 25% flooded grass, no canopy cover ","flooded river side arms, 25% flooded grass, no canopy cover ",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-25 00:00:00,34,19.0,Corin flat,-35.518728,148.90946,1220.05541992188,2,Y,20,10:55:00,11:45:00,20.3,62.3,3.2,>40,>40,>40,>40,"Too shallow, lots of algae on edges, clear in middle",12:20:00,N,N,"Tadpoles abundant in q3, sparser elsewhere","Flooded grasses 25%, no canopy","Flooded grasses 25%, no canopy","Flooded grasses 25%, no canopy","Flooded grasses 25%, no canopy",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-11-25 00:00:00,59,20.0,Square rock trail,-35.532568,148.901689,1345.53173828125,2,Y,20,02:10:00,02:40:00,24.5,48.9,0.0,>30,>30,>30,>30,Too shallow. Lots of grasses and algae,03:20:00,N,N,Small flooded grassland  lots of veg  and water is shallow and warm  , This quadrant with many other species. 25% submerged grasses and overhanging grass. Shallow warm water ,Not many tadpoles here. 25% submerged and over hanging grasses. Very thick vegetation ,25% submerged and over hanging grasses. Very thick vegetation ,. 25% submerged and overhanging grasses. Water very shallow and very warm,,,,,,,,,,,,,,,,,,Tadpole,,,,,,
