"site","survey_period","species_richness","shannon_index","elevation_m","count"
34,1,7,1.31167826831725,1220.05541992188,628
34,2,5,1.29703899303839,1220.05541992188,1014
34,2,5,1.29703899303839,1220.05541992188,628
34,2,5,1.29703899303839,1220.05541992188,1014
34,2,5,1.29703899303839,1220.05541992188,628
38,1,7,1.38593847803737,471,432
38,1,7,1.38593847803737,471,1338
38,1,7,1.38593847803737,471,432
38,1,7,1.38593847803737,471,1338
38,2,8,1.28063137326862,471,432
38,2,8,1.28063137326862,471,1338
38,2,8,1.28063137326862,471,432
38,2,8,1.28063137326862,471,1338
4,1,8,1.41467341833075,659.889038085938,886
4,1,8,1.41467341833075,659.889038085938,1620
4,1,8,1.41467341833075,659.889038085938,886
4,1,8,1.41467341833075,659.889038085938,1620
4,2,8,1.15933519282791,659.889038085938,886
4,2,8,1.15933519282791,659.889038085938,1620
4,2,8,1.15933519282791,659.889038085938,886
4,2,8,1.15933519282791,659.889038085938,1620
43,1,8,1.23112791141365,656.984741210938,788
43,1,8,1.23112791141365,656.984741210938,570
43,1,8,1.23112791141365,656.984741210938,788
43,1,8,1.23112791141365,656.984741210938,570
43,2,8,1.72742446745678,656.984741210938,788
43,2,8,1.72742446745678,656.984741210938,570
43,2,8,1.72742446745678,656.984741210938,788
43,2,8,1.72742446745678,656.984741210938,570
54,1,10,1.76516466586881,611.999877929688,796
54,1,10,1.76516466586881,611.999877929688,934
54,1,10,1.76516466586881,611.999877929688,796
54,1,10,1.76516466586881,611.999877929688,934
54,2,7,1.51191940847829,611.999877929688,796
54,2,7,1.51191940847829,611.999877929688,934
54,2,7,1.51191940847829,611.999877929688,796
54,2,7,1.51191940847829,611.999877929688,934
55,1,8,1.33398396216574,657.369750976562,3102
55,1,8,1.33398396216574,657.369750976562,3102
55,1,8,1.33398396216574,657.369750976562,3102
58,1,9,1.57853059990147,958.719909667969,136
58,1,9,1.57853059990147,958.719909667969,986
58,1,9,1.57853059990147,958.719909667969,136
58,1,9,1.57853059990147,958.719909667969,986
58,2,5,1.34724032491201,958.719909667969,136
58,2,5,1.34724032491201,958.719909667969,986
58,2,5,1.34724032491201,958.719909667969,136
58,2,5,1.34724032491201,958.719909667969,986
59,1,4,1.22052456178091,1345.53173828125,346
59,1,4,1.22052456178091,1345.53173828125,328
59,1,4,1.22052456178091,1345.53173828125,346
59,1,4,1.22052456178091,1345.53173828125,328
59,2,8,1.80010349007897,1345.53173828125,346
59,2,8,1.80010349007897,1345.53173828125,328
59,2,8,1.80010349007897,1345.53173828125,346
59,2,8,1.80010349007897,1345.53173828125,328
6,1,10,1.09318825898291,636,1164
6,1,10,1.09318825898291,636,426
6,1,10,1.09318825898291,636,1164
6,1,10,1.09318825898291,636,426
6,2,9,1.88589944517887,636,1164
6,2,9,1.88589944517887,636,426
6,2,9,1.88589944517887,636,1164
6,2,9,1.88589944517887,636,426
68,1,10,1.47050343968417,761.666259765625,964
68,1,10,1.47050343968417,761.666259765625,964
9,1,6,1.4907624897382,1103,666
9,1,6,1.4907624897382,1103,292
9,1,6,1.4907624897382,1103,666
9,1,6,1.4907624897382,1103,292
9,2,9,1.8795953026009,1103,666
9,2,9,1.8795953026009,1103,292
9,2,9,1.8795953026009,1103,666
9,2,9,1.8795953026009,1103,292
